Intake.Type,Intake.Subtype,Animal.Type,Sex,Intake.Condition,Breed,Coat.Color.Pattern,Week.Number,Age
STRAY,FIELD,DOG,M,INJURED,PIT BULL,WHITE,0,2.969
STRAY,OTC,DOG,N,INJURED,DACHSHUND,CHOCOLATE,0,2.186
STRAY,FIELD,DOG,S,NORMAL,AUST SHEPHERD,WHITE,0,13.399
STRAY,FIELD,DOG,M,INJURED,PIT BULL,BROWN,0,13.186
PUBLIC AST,OIJ,DOG,S,INJURED,LABRADOR RETR,BLACK,0,19.243
STRAY,OTC,DOG,N,NORMAL,LABRADOR RETR,BROWN,0,18.189
STRAY,OTC,DOG,N,NORMAL,RAT TERRIER,WHITE,0,19.189
PUBLIC AST,EMERGENCY,DOG,S,NORMAL,BORDER COLLIE,WHITE,0,19.189
PUBLIC AST,EMERGENCY,DOG,F,NORMAL,BORDER COLLIE,BROWN,0,19.189
STRAY,OTC,DOG,S,NORMAL,DALMATIAN,WHITE,0,19.827
STRAY,OTC,DOG,N,NORMAL,CHIHUAHUA SH,WHITE,0,23.246
STRAY,FIELD,DOG,S,NORMAL,LABRADOR RETR,WHITE,0,22.186
OWNER SUR,OTC,DOG,S,NORMAL,CHIHUAHUA SH,TAN,0,22.219
STRAY,OTC,DOG,N,NORMAL,SCHNAUZER MIN,BLACK,0,23.388
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,YELLOW,0,23.219
OWNER SUR,FIELD,DOG,S,NORMAL,GERM SHEPHERD,BROWN,0,24.219
STRAY,FIELD,DOG,N,NORMAL,BASSET HOUND,BROWN,0,3.219
STRAY,FIELD,DOG,N,NORMAL,CHOW CHOW,RED,0,3.219
OWNER SUR,OTC,DOG,S,NORMAL,DACHSHUND,RED,0,4.249
STRAY,OTC,DOG,S,NORMAL,PARSON RUSS TER,WHITE,0,5.447
STRAY,OTC,DOG,S,NORMAL,AUST CATTLE DOG,WHITE,0.14,1.603
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,ORG TABBY,0.14,1.272
STRAY,OTC,DOG,N,NORMAL,CHINESE SHARPEI,WHITE,0.14,1.346
STRAY,OTC,DOG,N,NORMAL,CHINESE SHARPEI,WHITE,0.14,1.346
OWNER SUR,OTC,DOG,N,NORMAL,AUST CATTLE DOG,WHITE,0.14,1.616
STRAY,OTC,DOG,N,NORMAL,POODLE MIN,BLACK,0.14,1.824
STRAY,OTC,CAT,N,NORMAL,DOMESTIC MH,CRM TABBY,0.14,1.772
STRAY,OTC,CAT,S,NORMAL,DOMESTIC MH,WHITE,0.14,1.772
STRAY,OTC,CAT,N,NORMAL,DOMESTIC MH,ORG TABBY,0.14,1.78
